name,type,latitude,longitude,municipality
Akbarpur Mahamaya Rajkiya Airport,small_airport,26.447599,82.568199,Akbarpur
Agra Airport / Agra Air Force Station,medium_airport,27.157975,77.961025,Agra
Aligarh Airport,small_airport,27.861437,78.145404,Aligarh
Prayagraj Airport,medium_airport,25.4401,81.733902,Allahabad
Ambala Air Force Station,medium_airport,30.368099,76.816704,Ambala
Sri Guru Ram Das Ji International Airport,large_airport,31.7096,74.797302,Amritsar
Awantipura Air Force Station,small_airport,33.876598,74.9757,Awantipura
Adampur Airport,small_airport,31.4338,75.758797,Adampur
Nal Airport,medium_airport,28.070601,73.207199,Bikaner
Bakshi Ka Talab Air Force Station,small_airport,26.9883,80.893097,Lucknow
Kullu Manali Airport,medium_airport,31.876699,77.154404,Bhuntar
Bhatinda Air Force Station,medium_airport,30.2701,74.755798,
Bhiwani Airport,small_airport,28.837,76.1791,Bhiwani
Bareilly Air Force Station,medium_airport,28.4221,79.450798,Bareilly
Shaheed Bhagat Singh International Airport,large_airport,30.6735,76.788498,Chandigarh
Kanpur Airport,medium_airport,26.404301,80.410103,Kanpur
Safdarjung Airport,medium_airport,28.585453,77.203563,New Delhi
Pithoragarh Airport,small_airport,29.593599,80.239197,Pithoragarh
Dehradun Jolly Grant Airport,medium_airport,30.189243,78.176651,Dehradun (Jauligrant)
Indira Gandhi International Airport,large_airport,28.55563,77.09519,New Delhi
Hindon Airport / Hindon Air Force Station,small_airport,28.707701,77.358902,Ghaziabad
Kangra Airport,medium_airport,32.164902,76.263018,Kangra
Gwalior Airport,medium_airport,26.29330062866211,78.22779846191406,Gwalior
Maharaja Agrasen International Airport,large_airport,29.186065,75.74142,Hisar
Halwara International Airport,large_airport,30.748501,75.629799,Halwara
Jhansi Airport,small_airport,25.491199,78.558403,
Jodhpur Airport,medium_airport,26.251100540161133,73.04889678955078,Jodhpur
Jaipur International Airport,large_airport,26.8242,75.812202,Jaipur
Jaisalmer Airport,medium_airport,26.8887,70.864998,
Jammu Airport,medium_airport,32.688849,74.838152,Jammu
Kanpur Civil Airport (Old),small_airport,26.440857,80.365029,Kanpur
Kishangarh Airport Ajmer,medium_airport,26.591007,74.812956,Ajmer (Kishangarh)
Kota Airport,medium_airport,25.160200119,75.84559631350001,Kota
